2008,,46627606.4,8348.4,205485.6,52.8,2.1,96.0,114.0,2629.5,0.0,1061.0,0.0,32217.1,925926.1,6014258.2,194441.1,182708.8,339.1,59934.5,1.7,933980.6,498968.0,75631.3,16.5,0.0,0.0,761.1,81206.6,31402.4,0.0,160782.2,2322667.8,0.0,2432496.9,0.0,542567.4,1411086.5,0.0,59635.8,355647.6,0.0,0.0,1497693.4,3605829.5,1123.2,62841.9,19220007.3,0.0,566529.4,0.0,0.0,23422.6,23.2,0.0,0.0,696814.5,0.0,304.0,0.0,4.6,0.0,0.0,3974.6,0.0,5318.4,14612.1,0.0,6.2,0.4,0.0,113450.5,4.6,0.0,0.0,35048.8,0.0,0.0,1353423.0,24182.4,109083.0,0.6,24.8,4250.1,0.0,89924.6,260991.8,0.0,161077.9,0.0,0.0,0.0,0.0,115.7,23730.2,55.0,82121.4,13.4,0.0,77209.1,353920.9,3.3,0.0,626157.2,0.0,24943.7,0.0,145886.7,2873.4,35.4,290884.3,0.0,0.0,0.0,33902.5,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,64675.8,490667.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25033.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,,5299565.7,11191.4,19731.2,0.0,7.0,70.4,118.9,2541.9,0.0,14820.4,0.0,4716.1,3083.4,228196.1,5693.1,69174.9,1508.8,1.5,373.3,114629.1,10103.6,45762.6,216.0,0.0,0.0,500.6,47579.9,0.0,15.0,81.4,258842.7,28740.4,144947.9,0.0,39863.6,390292.7,137.9,33799.2,434731.1,10.9,0.0,52825.8,369845.8,5252.6,38.3,940928.5,0.0,2263.4,0.0,0.0,34389.4,372.6,80.0,0.0,124771.1,0.0,259.9,0.0,10.1,0.0,0.0,3613.6,0.0,5114.6,6003.9,0.0,0.0,39.9,0.0,119456.4,18.0,0.0,0.0,39.4,0.0,0.0,7352.1,1.9,65.7,13.5,1236.0,26.5,0.0,3792.0,0.0,0.0,85401.4,0.0,0.0,6.8,0.0,0.0,9227.5,40.0,0.0,18057.2,0.0,5.2,28.0,7.3,160.6,1056323.0,97.5,17081.2,0.0,1.1,2521.2,0.0,115060.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,97.0,0.0,0.0,0.0,0.0,0.0,60973.4,0.0,0.0,1160.0,0.0,15.9,0.0,343819.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,,5727723.0,636.6,9004.7,524.5,98.5,91.2,18.3,2125.8,0.0,9541.0,3.5,11620.5,5596.4,91893.4,6308.2,29.4,6281.4,0.5,44.2,0.0,6390.4,50631.4,51.7,0.0,0.4,525.3,32209.6,4.2,4.5,0.0,347503.4,27774.9,1007.8,0.0,3559.4,12.8,0.0,11993.6,295901.6,13.7,0.0,52837.8,684828.9,4826.8,78.1,2845408.2,0.3,716.3,0.0,0.0,26995.1,36.7,0.0,0.0,68353.6,0.0,470.9,2.2,120.0,0.0,0.0,8378.1,0.0,2774.1,15175.0,0.0,6.7,0.3,0.0,22441.6,0.0,0.0,0.0,29.8,0.0,0.0,14641.5,55.0,686.3,370.5,925.1,0.0,95.7,4066.2,19215.1,6297.4,80122.2,0.0,0.0,0.0,0.0,1.5,33968.7,162.0,3463.2,5.1,9.6,34786.8,12.6,5.9,15423.4,388144.8,420.5,248.9,0.0,44.7,4.8,2239.2,181983.0,0.0,0.0,0.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,285275.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,,3650197.3,0.0,34801.6,0.0,0.0,115.2,14.1,1565.8,0.0,6306.9,5.0,15429.8,4500.0,43158.0,100859.7,7.0,44.0,0.0,786.9,0.0,99237.7,12647.7,70.4,0.0,0.0,1462.9,11678.8,1.1,0.0,140.2,406717.3,5903.8,1625.5,0.0,176909.7,0.0,0.0,10371.5,166468.0,3.2,0.0,75975.2,195062.7,1712.4,282.2,1315742.0,0.0,305.9,0.0,0.0,3821.6,2.1,0.0,0.0,488.5,0.0,406.6,0.0,0.0,683.7,0.0,5373.3,0.0,4941.3,4452.8,5828.2,0.5,245.7,0.0,41688.0,0.0,21.9,0.0,38886.9,0.0,0.0,2802.6,992.0,1605.4,0.0,678.9,32.0,0.0,7365.0,8545.7,0.0,119120.1,0.0,0.0,0.3,0.0,62.8,123094.4,956.1,3764.1,287.6,0.0,13.1,4.2,0.0,0.0,275959.3,0.0,69.6,0.0,18.3,3.0,3394.5,20226.1,0.0,0.0,0.0,396.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,0.0,0.0,0.0,208436.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,,3190031.2,1653.9,37596.5,0.0,341.6,6.4,90.3,1121.1,0.8,691.7,0.0,7982.6,6599.5,25991.5,49309.5,13.8,0.0,9.0,237.8,0.0,31718.2,18066.7,106.7,0.0,0.0,98.0,2194.8,0.3,3.5,28.5,66890.1,647.5,5385.0,0.0,109182.2,129357.3,4.1,3564.0,153544.6,77.5,0.0,5611.5,323738.2,2487.4,9.2,1614856.2,4.6,238.0,0.0,0.8,7731.3,0.0,26.6,13.2,3785.6,0.0,712.1,0.0,5.7,0.4,230.0,11524.3,0.0,6047.2,15.3,13541.9,0.0,16.7,0.0,15980.0,2.0,0.0,0.0,567.5,0.0,0.0,14323.8,2.2,1173.6,0.0,4.4,0.0,0.0,2640.1,2932.9,0.0,82295.3,0.0,7727.0,3043.2,34.2,0.1,2771.4,709.0,11450.2,6621.6,5.3,56.2,20.0,0.2,227.5,182621.6,6.2,49.0,0.0,347.4,11.9,2219.4,20226.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188850.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,,2368145.5,0.0,7307.2,14.6,0.0,0.0,88.3,434.5,0.0,1434.4,0.0,6027.0,7695.7,63864.5,13933.9,0.0,0.0,91.5,678.0,0.0,19286.1,7206.1,32.0,0.0,0.0,180.4,614.9,177.8,0.0,57.3,209725.5,0.0,1308.5,0.0,61075.6,27.9,205.7,1479.4,49129.4,0.5,0.0,43329.0,138112.8,297.1,5.7,1345948.4,0.0,321.1,0.5,0.0,3822.7,0.0,0.0,1.4,965.5,0.0,1271.4,0.0,6.0,160.4,0.0,11116.3,0.0,4871.7,6712.5,7731.0,0.0,0.9,0.0,12509.9,991.7,0.0,0.0,31.0,0.0,0.0,6373.1,0.0,2264.0,0.0,20.4,0.0,0.0,2831.4,30.7,0.0,1641.9,0.0,0.0,577.8,0.0,78.1,100.6,983.4,7083.7,916.2,68.5,0.9,0.0,0.0,0.0,107036.0,0.0,183.1,0.0,19799.4,1.7,4677.3,71425.9,0.0,263.1,103.7,1350.8,12.9,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110059.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,,2004564.8,0.0,28773.3,0.0,34.8,2081.4,0.9,11.9,0.0,1223.5,0.0,7161.6,9044.0,51974.9,2586.9,6894.2,780.6,0.0,152.1,28.5,1312.3,35.6,58.0,0.0,1.5,24.0,693.8,0.0,0.0,1.3,166282.4,94.5,2245.2,0.0,7277.1,0.0,406.4,2.9,29884.5,0.8,0.0,103990.4,154057.4,20367.9,0.0,1082719.6,40.9,295.3,47.1,0.0,220.6,0.0,58.8,0.0,0.5,0.0,704.7,0.0,213.6,0.0,112.3,2542.1,0.0,3120.9,2573.2,4537.9,2.4,4.1,0.0,30173.1,0.0,0.0,0.0,174.6,0.0,0.0,9577.6,385.2,1029.9,5.0,2530.1,0.0,0.0,1635.7,2983.8,0.0,28353.7,0.0,0.0,2605.7,0.0,0.3,821.3,985.4,4811.2,0.0,1.8,304.0,0.9,0.0,0.0,83396.5,10.3,242.4,0.0,262.9,0.0,12.9,54123.6,0.0,0.0,264.1,0.0,0.0,0.0,0.0,4.6,0.0,176.4,0.0,12.8,4.7,3775.2,0.0,0.0,1.0,282.1,1.9,38.5,16.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80828.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,,2194646.2,1.7,12864.2,0.0,88.5,15021.8,12.7,64.0,0.0,618.8,0.0,10214.4,35443.5,13624.9,1785.2,247.3,45.7,45.1,62.0,0.0,2438.6,74.1,71.0,0.0,0.8,262.0,190.8,61.5,1.7,63.8,66474.0,3036.6,803.4,0.0,24348.1,13.8,26.0,0.0,9144.2,18.1,85853.6,101816.2,164130.2,7720.1,63.9,1324065.4,55.4,546.7,0.0,0.0,0.6,0.0,0.0,0.0,1189.4,0.0,1116.7,0.0,0.0,0.0,0.0,2682.4,0.0,1240.0,8568.7,0.0,0.0,0.0,0.0,8668.5,0.0,24282.5,0.0,5259.5,0.0,0.0,15607.4,604.3,1797.6,0.0,3584.3,0.0,0.0,1507.2,0.0,0.0,9041.2,0.0,0.0,1290.9,0.0,40.6,33.2,266.0,1689.5,0.0,13.9,2.8,13.2,32.5,1931.4,67381.6,0.0,317.1,0.0,187.6,2.4,0.0,50831.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,3.3,8.6,0.0,0.0,0.7,0.0,0.0,424.3,315.6,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0,103235.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,,1584657.3,1548.6,8293.0,113.3,15.0,7264.8,45.1,1013.9,0.0,786.7,3.0,7116.9,18785.1,8004.7,2938.4,0.0,1510.2,3.4,235.5,0.0,4878.9,0.0,87.1,0.0,0.0,706.9,757.2,5.3,0.0,197.7,205191.8,7700.8,629.4,0.0,3741.9,5538.4,0.0,0.0,7662.2,50.7,31539.6,7799.6,135155.8,45842.7,18.7,762544.8,0.0,562.0,0.0,0.0,0.0,0.4,0.0,9.3,2001.1,0.0,0.0,2.4,1.0,0.0,0.0,12592.3,0.0,2446.1,4.9,2.5,0.8,6.1,0.0,25377.0,0.0,0.0,0.0,22.0,0.0,0.0,26213.0,19.4,885.2,11.3,296.4,0.0,0.0,3072.0,0.6,0.0,7537.4,0.0,6306.4,7889.5,0.0,13.6,213.2,673.2,2354.8,0.0,87.0,23.6,0.0,0.0,3814.0,104981.0,0.0,752.7,0.0,119.4,0.8,0.0,22680.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74639.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,,789828.5,0.0,7623.2,430.5,960.2,2459.6,23.6,440.7,6.8,929.7,0.0,9040.9,10965.9,29829.6,1980.7,0.0,13216.1,0.0,221.3,5279.7,166.6,9.0,4.7,0.0,0.0,424.4,178.3,0.0,2.0,1303.1,58093.7,4767.1,1263.9,0.0,2148.0,4.6,2.8,0.0,22667.6,4241.9,0.0,9171.7,56930.7,36775.9,0.3,313056.9,0.0,404.6,0.0,0.0,3128.5,3.0,0.0,0.0,1386.8,0.0,765.8,9.1,0.0,0.0,0.0,2168.6,0.0,2455.6,2490.5,0.0,52.5,53.7,0.0,2556.2,0.0,0.0,0.0,1630.3,0.0,0.0,4385.8,1.7,749.7,8.8,149.0,0.0,0.5,2111.0,0.0,0.0,3620.9,0.0,0.0,53.6,0.0,2.1,0.5,644.9,1318.2,235.0,0.0,1001.3,129.0,0.0,4023.6,69086.8,103.7,211.6,0.0,403.5,10.0,0.5,13225.8,0.0,0.0,0.0,4816.2,0.0,0.0,23.8,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,51.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.7,1.0,2.0,0.0,0.0,71723.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998,,450891.8,0.0,5572.1,0.0,50.1,24.4,135.8,107.0,0.0,770.0,0.0,2967.8,40357.1,13856.5,10836.9,0.0,0.0,0.0,1109.3,0.0,900.5,0.0,25.0,0.0,0.0,64.2,1187.1,0.0,0.0,18.2,11728.9,0.0,113.1,0.0,6.3,0.5,0.0,673.9,44468.7,187.9,1.0,5712.5,389.2,17100.1,5314.2,45072.1,0.0,1256.3,0.0,33.3,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,3034.6,0.0,2795.5,34.2,0.0,0.0,0.0,0.0,131.2,0.0,1.0,0.0,44.6,0.0,0.0,4213.8,0.0,131.3,0.4,15.9,0.0,0.0,1757.6,0.0,0.0,369.2,0.0,0.0,90.0,0.0,0.0,4.9,806.2,0.0,99.5,0.0,0.0,0.0,0.0,1478.4,135837.8,0.0,648.6,0.0,22.1,5.4,0.0,12397.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76915.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997,,536502.5,0.0,6171.6,0.0,0.0,0.0,0.5,875.6,0.0,285.4,0.0,1084.4,1431.0,2082.4,4465.1,1062.4,0.0,0.2,3649.8,0.0,1250.7,43720.6,0.0,0.0,0.0,629.8,218.4,0.0,0.0,265.9,139.5,0.0,28.7,0.0,0.0,0.0,0.0,380.2,189741.1,0.0,0.0,265.5,2335.0,6645.6,26002.4,32924.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.5,0.0,630.0,0.0,0.0,0.0,0.0,1788.4,0.0,729.0,28.1,0.0,4057.8,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,5578.7,0.0,0.0,0.0,229.1,1326.1,0.0,2904.3,0.3,0.0,24.3,0.0,0.0,3343.5,0.0,0.0,10.2,0.0,0.0,881.6,0.0,7.0,0.0,0.0,0.0,41283.1,0.0,746.4,0.0,6.7,0.0,0.0,13759.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133486.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,,432678.4,0.0,3069.3,0.0,0.0,0.0,234.2,3924.6,0.0,366.6,0.0,3053.9,13028.2,2177.8,538.1,0.0,2783.8,0.0,0.0,0.0,543.5,0.0,0.0,0.0,0.0,60.1,53.5,0.0,0.0,0.0,405.5,0.0,0.0,0.0,0.0,0.0,13.0,59.7,226117.2,40.7,0.0,13.6,3.6,1936.0,17992.9,10055.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.1,0.0,3231.7,35.4,0.0,62.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,0.0,0.0,27.1,26.8,0.0,0.0,1633.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,39048.8,0.0,17.2,0.0,0.0,0.0,0.0,9773.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91557.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1995,,397781.0,47.0,3923.0,0.0,0.0,0.0,849.0,3521.0,0.0,646.0,0.0,1576.0,48554.0,1113.0,836.0,0.0,0.0,0.0,81.0,0.0,1750.0,0.0,0.0,0.0,0.0,146.0,422.0,0.0,0.0,0.0,117.0,968.0,27.0,0.0,0.0,0.0,0.0,0.0,186088.0,0.0,0.0,473.0,1.0,28282.0,0.0,26447.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,6420.0,215.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1100.0,55.0,0.0,0.0,351.0,0.0,0.0,49.0,0.0,0.0,154.0,0.0,0.0,25.0,0.0,0.0,108.0,0.0,0.0,93.0,0.0,0.0,26445.0,0.0,235.0,0.0,0.0,0.0,0.0,10021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
